scenario,popsize,nItems,landsize,nClusters,clusterSpread,tmax,genmax,g_patho_init,range_food,range_agents,range_move,handling_time,regen_time,pTransmit,initialInfections,costInfect,nThreads,local_dispersal,infect_percent,replicate,ofi
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.1,1,TRUE,FALSE,1,1644327131
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.1,1,TRUE,FALSE,2,1644327132
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.1,1,TRUE,FALSE,3,1644327133
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.1,1,TRUE,FALSE,4,1644327134
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.1,1,TRUE,FALSE,5,1644327135
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.1,1,TRUE,FALSE,6,1644327136
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.1,1,TRUE,FALSE,7,1644327137
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.1,1,TRUE,FALSE,8,1644327138
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.1,1,TRUE,FALSE,9,1644327139
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.1,1,TRUE,FALSE,10,1644327140
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,1,TRUE,FALSE,1,1644327141
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,1,TRUE,FALSE,2,1644327142
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,1,TRUE,FALSE,3,1644327143
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,1,TRUE,FALSE,4,1644327144
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,1,TRUE,FALSE,5,1644327145
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,1,TRUE,FALSE,6,1644327146
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,1,TRUE,FALSE,7,1644327147
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,1,TRUE,FALSE,8,1644327148
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,1,TRUE,FALSE,9,1644327149
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,1,TRUE,FALSE,10,1644327150
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.5,1,TRUE,FALSE,1,1644327151
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.5,1,TRUE,FALSE,2,1644327152
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.5,1,TRUE,FALSE,3,1644327153
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.5,1,TRUE,FALSE,4,1644327154
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.5,1,TRUE,FALSE,5,1644327155
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.5,1,TRUE,FALSE,6,1644327156
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.5,1,TRUE,FALSE,7,1644327157
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.5,1,TRUE,FALSE,8,1644327158
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.5,1,TRUE,FALSE,9,1644327159
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.5,1,TRUE,FALSE,10,1644327160
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,TRUE,FALSE,1,1644327161
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,TRUE,FALSE,2,1644327162
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,TRUE,FALSE,3,1644327163
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,TRUE,FALSE,4,1644327164
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,TRUE,FALSE,5,1644327165
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,TRUE,FALSE,6,1644327166
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,TRUE,FALSE,7,1644327167
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,TRUE,FALSE,8,1644327168
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,TRUE,FALSE,9,1644327169
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,TRUE,FALSE,10,1644327170
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,TRUE,FALSE,1,1644327171
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,TRUE,FALSE,2,1644327172
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,TRUE,FALSE,3,1644327173
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,TRUE,FALSE,4,1644327174
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,TRUE,FALSE,5,1644327175
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,TRUE,FALSE,6,1644327176
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,TRUE,FALSE,7,1644327177
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,TRUE,FALSE,8,1644327178
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,TRUE,FALSE,9,1644327179
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,TRUE,FALSE,10,1644327180
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,1,TRUE,FALSE,1,1644327181
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,1,TRUE,FALSE,2,1644327182
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,1,TRUE,FALSE,3,1644327183
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,1,TRUE,FALSE,4,1644327184
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,1,TRUE,FALSE,5,1644327185
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,1,TRUE,FALSE,6,1644327186
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,1,TRUE,FALSE,7,1644327187
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,1,TRUE,FALSE,8,1644327188
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,1,TRUE,FALSE,9,1644327189
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,1,TRUE,FALSE,10,1644327190
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.1,1,TRUE,FALSE,1,1644327191
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.1,1,TRUE,FALSE,2,1644327192
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.1,1,TRUE,FALSE,3,1644327193
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.1,1,TRUE,FALSE,4,1644327194
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.1,1,TRUE,FALSE,5,1644327195
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.1,1,TRUE,FALSE,6,1644327196
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.1,1,TRUE,FALSE,7,1644327197
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.1,1,TRUE,FALSE,8,1644327198
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.1,1,TRUE,FALSE,9,1644327199
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.1,1,TRUE,FALSE,10,1644327200
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.25,1,TRUE,FALSE,1,1644327201
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.25,1,TRUE,FALSE,2,1644327202
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.25,1,TRUE,FALSE,3,1644327203
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.25,1,TRUE,FALSE,4,1644327204
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.25,1,TRUE,FALSE,5,1644327205
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.25,1,TRUE,FALSE,6,1644327206
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.25,1,TRUE,FALSE,7,1644327207
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.25,1,TRUE,FALSE,8,1644327208
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.25,1,TRUE,FALSE,9,1644327209
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.25,1,TRUE,FALSE,10,1644327210
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.5,1,TRUE,FALSE,1,1644327211
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.5,1,TRUE,FALSE,2,1644327212
