scenario,popsize,nItems,landsize,nClusters,clusterSpread,tmax,genmax,g_patho_init,range_food,range_agents,range_move,handling_time,regen_time,pTransmit,initialInfections,costInfect,nThreads,local_dispersal,infect_percent,replicate,ofi
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.025,1,TRUE,TRUE,1,1644327304
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.025,1,TRUE,TRUE,2,1644327305
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.025,1,TRUE,TRUE,3,1644327306
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.025,1,TRUE,TRUE,4,1644327307
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.025,1,TRUE,TRUE,5,1644327308
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.025,1,TRUE,TRUE,6,1644327309
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.025,1,TRUE,TRUE,7,1644327310
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.025,1,TRUE,TRUE,8,1644327311
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.025,1,TRUE,TRUE,9,1644327312
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.025,1,TRUE,TRUE,10,1644327313
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.05,1,TRUE,TRUE,1,1644327314
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.05,1,TRUE,TRUE,2,1644327315
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.05,1,TRUE,TRUE,3,1644327316
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.05,1,TRUE,TRUE,4,1644327317
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.05,1,TRUE,TRUE,5,1644327318
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.05,1,TRUE,TRUE,6,1644327319
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.05,1,TRUE,TRUE,7,1644327320
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.05,1,TRUE,TRUE,8,1644327321
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.05,1,TRUE,TRUE,9,1644327322
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.05,1,TRUE,TRUE,10,1644327323
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.075,1,TRUE,TRUE,1,1644327324
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.075,1,TRUE,TRUE,2,1644327325
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.075,1,TRUE,TRUE,3,1644327326
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.075,1,TRUE,TRUE,4,1644327327
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.075,1,TRUE,TRUE,5,1644327328
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.075,1,TRUE,TRUE,6,1644327329
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.075,1,TRUE,TRUE,7,1644327330
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.075,1,TRUE,TRUE,8,1644327331
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.075,1,TRUE,TRUE,9,1644327332
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.075,1,TRUE,TRUE,10,1644327333
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.025,1,TRUE,TRUE,1,1644327334
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.025,1,TRUE,TRUE,2,1644327335
