scenario,popsize,nItems,landsize,nClusters,clusterSpread,tmax,genmax,g_patho_init,range_food,range_agents,range_move,handling_time,regen_time,pTransmit,initialInfections,costInfect,nThreads,dispersal,infect_percent,replicate,ofi
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.025,1,2,TRUE,1,1644500187
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.025,1,2,TRUE,2,1644500188
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.025,1,2,TRUE,3,1644500189
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.025,1,2,TRUE,4,1644500190
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.025,1,2,TRUE,5,1644500191
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.025,1,2,TRUE,6,1644500192
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.025,1,2,TRUE,7,1644500193
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.025,1,2,TRUE,8,1644500194
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.025,1,2,TRUE,9,1644500195
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.025,1,2,TRUE,10,1644500196
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.05,1,2,TRUE,1,1644500197
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.05,1,2,TRUE,2,1644500198
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.05,1,2,TRUE,3,1644500199
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.05,1,2,TRUE,4,1644500200
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.05,1,2,TRUE,5,1644500201
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.05,1,2,TRUE,6,1644500202
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.05,1,2,TRUE,7,1644500203
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.05,1,2,TRUE,8,1644500204
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.05,1,2,TRUE,9,1644500205
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.05,1,2,TRUE,10,1644500206
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.075,1,2,TRUE,1,1644500207
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.075,1,2,TRUE,2,1644500208
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.075,1,2,TRUE,3,1644500209
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.075,1,2,TRUE,4,1644500210
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.075,1,2,TRUE,5,1644500211
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.075,1,2,TRUE,6,1644500212
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.075,1,2,TRUE,7,1644500213
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.075,1,2,TRUE,8,1644500214
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.075,1,2,TRUE,9,1644500215
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.075,1,2,TRUE,10,1644500216
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.025,1,2,TRUE,1,1644500217
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.025,1,2,TRUE,2,1644500218
