scenario,popsize,nItems,landsize,nClusters,clusterSpread,tmax,genmax,g_patho_init,range_food,range_agents,range_move,handling_time,regen_time,pTransmit,initialInfections,costInfect,nThreads,dispersal,infect_percent,replicate,ofi
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.1,1,2,FALSE,1,1644500622
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.1,1,2,FALSE,2,1644500623
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.1,1,2,FALSE,3,1644500624
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.1,1,2,FALSE,4,1644500625
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.1,1,2,FALSE,5,1644500626
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.1,1,2,FALSE,6,1644500627
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.1,1,2,FALSE,7,1644500628
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.1,1,2,FALSE,8,1644500629
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.1,1,2,FALSE,9,1644500630
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.1,1,2,FALSE,10,1644500631
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,1,2,FALSE,1,1644500632
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,1,2,FALSE,2,1644500633
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,1,2,FALSE,3,1644500634
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,1,2,FALSE,4,1644500635
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,1,2,FALSE,5,1644500636
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,1,2,FALSE,6,1644500637
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,1,2,FALSE,7,1644500638
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,1,2,FALSE,8,1644500639
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,1,2,FALSE,9,1644500640
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,1,2,FALSE,10,1644500641
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.5,1,2,FALSE,1,1644500642
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.5,1,2,FALSE,2,1644500643
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.5,1,2,FALSE,3,1644500644
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.5,1,2,FALSE,4,1644500645
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.5,1,2,FALSE,5,1644500646
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.5,1,2,FALSE,6,1644500647
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.5,1,2,FALSE,7,1644500648
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.5,1,2,FALSE,8,1644500649
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.5,1,2,FALSE,9,1644500650
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.5,1,2,FALSE,10,1644500651
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,2,FALSE,1,1644500652
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,2,FALSE,2,1644500653
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,2,FALSE,3,1644500654
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,2,FALSE,4,1644500655
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,2,FALSE,5,1644500656
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,2,FALSE,6,1644500657
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,2,FALSE,7,1644500658
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,2,FALSE,8,1644500659
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,2,FALSE,9,1644500660
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,2,FALSE,10,1644500661
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,2,FALSE,1,1644500662
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,2,FALSE,2,1644500663
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,2,FALSE,3,1644500664
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,2,FALSE,4,1644500665
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,2,FALSE,5,1644500666
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,2,FALSE,6,1644500667
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,2,FALSE,7,1644500668
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,2,FALSE,8,1644500669
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,2,FALSE,9,1644500670
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,2,FALSE,10,1644500671
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,1,2,FALSE,1,1644500672
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,1,2,FALSE,2,1644500673
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,1,2,FALSE,3,1644500674
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,1,2,FALSE,4,1644500675
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,1,2,FALSE,5,1644500676
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,1,2,FALSE,6,1644500677
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,1,2,FALSE,7,1644500678
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,1,2,FALSE,8,1644500679
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,1,2,FALSE,9,1644500680
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,1,2,FALSE,10,1644500681
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.1,1,2,FALSE,1,1644500682
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.1,1,2,FALSE,2,1644500683
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.1,1,2,FALSE,3,1644500684
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.1,1,2,FALSE,4,1644500685
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.1,1,2,FALSE,5,1644500686
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.1,1,2,FALSE,6,1644500687
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.1,1,2,FALSE,7,1644500688
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.1,1,2,FALSE,8,1644500689
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.1,1,2,FALSE,9,1644500690
