scenario,popsize,nItems,landsize,nClusters,clusterSpread,tmax,genmax,g_patho_init,range_food,range_agents,range_move,handling_time,regen_time,pTransmit,initialInfections,costInfect,nThreads,dispersal,infect_percent,replicate,ofi
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.1,1,10,FALSE,1,1644682129
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.1,1,10,FALSE,2,1644682130
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.1,1,10,FALSE,3,1644682131
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.1,1,10,FALSE,4,1644682132
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.1,1,10,FALSE,5,1644682133
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.1,1,10,FALSE,6,1644682134
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.1,1,10,FALSE,7,1644682135
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.1,1,10,FALSE,8,1644682136
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.1,1,10,FALSE,9,1644682137
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.1,1,10,FALSE,10,1644682138
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,1,10,FALSE,1,1644682139
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,1,10,FALSE,2,1644682140
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,1,10,FALSE,3,1644682141
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,1,10,FALSE,4,1644682142
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,1,10,FALSE,5,1644682143
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,1,10,FALSE,6,1644682144
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,1,10,FALSE,7,1644682145
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,1,10,FALSE,8,1644682146
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,1,10,FALSE,9,1644682147
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,1,10,FALSE,10,1644682148
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.5,1,10,FALSE,1,1644682149
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.5,1,10,FALSE,2,1644682150
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.5,1,10,FALSE,3,1644682151
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.5,1,10,FALSE,4,1644682152
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.5,1,10,FALSE,5,1644682153
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.5,1,10,FALSE,6,1644682154
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.5,1,10,FALSE,7,1644682155
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.5,1,10,FALSE,8,1644682156
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.5,1,10,FALSE,9,1644682157
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.5,1,10,FALSE,10,1644682158
