scenario,popsize,nItems,landsize,nClusters,clusterSpread,tmax,genmax,g_patho_init,range_food,range_agents,range_move,handling_time,regen_time,pTransmit,initialInfections,costInfect,nThreads,dispersal,vertical,infect_percent,mProb,mSize,replicate,ofi
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,1,1655095239
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,2,1655095240
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,3,1655095241
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,4,1655095242
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,5,1655095243
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,6,1655095244
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,7,1655095245
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,8,1655095246
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,9,1655095247
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,10,1655095248
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,1,2,FALSE,FALSE,0.01,0.01,1,1655095249
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,1,2,FALSE,FALSE,0.01,0.01,2,1655095250
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,1,2,FALSE,FALSE,0.01,0.01,3,1655095251
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,1,2,FALSE,FALSE,0.01,0.01,4,1655095252
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,1,2,FALSE,FALSE,0.01,0.01,5,1655095253
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,1,2,FALSE,FALSE,0.01,0.01,6,1655095254
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,1,2,FALSE,FALSE,0.01,0.01,7,1655095255
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,1,2,FALSE,FALSE,0.01,0.01,8,1655095256
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,1,2,FALSE,FALSE,0.01,0.01,9,1655095257
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,1,2,FALSE,FALSE,0.01,0.01,10,1655095258
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.5,1,2,FALSE,FALSE,0.01,0.01,1,1655095259
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.5,1,2,FALSE,FALSE,0.01,0.01,2,1655095260
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.5,1,2,FALSE,FALSE,0.01,0.01,3,1655095261
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.5,1,2,FALSE,FALSE,0.01,0.01,4,1655095262
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.5,1,2,FALSE,FALSE,0.01,0.01,5,1655095263
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.5,1,2,FALSE,FALSE,0.01,0.01,6,1655095264
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.5,1,2,FALSE,FALSE,0.01,0.01,7,1655095265
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.5,1,2,FALSE,FALSE,0.01,0.01,8,1655095266
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.5,1,2,FALSE,FALSE,0.01,0.01,9,1655095267
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.5,1,2,FALSE,FALSE,0.01,0.01,10,1655095268
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,1,1655095269
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,2,1655095270
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,3,1655095271
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,4,1655095272
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,5,1655095273
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,6,1655095274
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,7,1655095275
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,8,1655095276
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,9,1655095277
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,10,1655095278
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,2,FALSE,FALSE,0.01,0.01,1,1655095279
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,2,FALSE,FALSE,0.01,0.01,2,1655095280
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,2,FALSE,FALSE,0.01,0.01,3,1655095281
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,2,FALSE,FALSE,0.01,0.01,4,1655095282
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,2,FALSE,FALSE,0.01,0.01,5,1655095283
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,2,FALSE,FALSE,0.01,0.01,6,1655095284
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,2,FALSE,FALSE,0.01,0.01,7,1655095285
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,2,FALSE,FALSE,0.01,0.01,8,1655095286
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,2,FALSE,FALSE,0.01,0.01,9,1655095287
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,2,FALSE,FALSE,0.01,0.01,10,1655095288
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,1,2,FALSE,FALSE,0.01,0.01,1,1655095289
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,1,2,FALSE,FALSE,0.01,0.01,2,1655095290
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,1,2,FALSE,FALSE,0.01,0.01,3,1655095291
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,1,2,FALSE,FALSE,0.01,0.01,4,1655095292
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,1,2,FALSE,FALSE,0.01,0.01,5,1655095293
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,1,2,FALSE,FALSE,0.01,0.01,6,1655095294
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,1,2,FALSE,FALSE,0.01,0.01,7,1655095295
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,1,2,FALSE,FALSE,0.01,0.01,8,1655095296
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,1,2,FALSE,FALSE,0.01,0.01,9,1655095297
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,1,2,FALSE,FALSE,0.01,0.01,10,1655095298
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,1,1655095299
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,2,1655095300
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,3,1655095301
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,4,1655095302
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,5,1655095303
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,6,1655095304
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,7,1655095305
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,8,1655095306
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,9,1655095307
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,10,1655095308
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.25,1,2,FALSE,FALSE,0.01,0.01,1,1655095309
