scenario,popsize,nItems,landsize,nClusters,clusterSpread,tmax,genmax,g_patho_init,range_food,range_agents,range_move,handling_time,regen_time,pTransmit,initialInfections,costInfect,nThreads,dispersal,vertical,infect_percent,mProb,mSize,spillover_rate,replicate,ofi
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,0.01,1,1655888581
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,0.01,2,1655888582
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,0.01,3,1655888583
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,0.01,4,1655888584
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,0.01,5,1655888585
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,0.01,6,1655888586
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,0.01,7,1655888587
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,0.01,8,1655888588
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,0.01,9,1655888589
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,0.01,10,1655888590
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,1,2,FALSE,FALSE,0.01,0.01,0.01,1,1655888591
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,1,2,FALSE,FALSE,0.01,0.01,0.01,2,1655888592
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,1,2,FALSE,FALSE,0.01,0.01,0.01,3,1655888593
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,1,2,FALSE,FALSE,0.01,0.01,0.01,4,1655888594
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,1,2,FALSE,FALSE,0.01,0.01,0.01,5,1655888595
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,1,2,FALSE,FALSE,0.01,0.01,0.01,6,1655888596
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,1,2,FALSE,FALSE,0.01,0.01,0.01,7,1655888597
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,1,2,FALSE,FALSE,0.01,0.01,0.01,8,1655888598
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,1,2,FALSE,FALSE,0.01,0.01,0.01,9,1655888599
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,1,2,FALSE,FALSE,0.01,0.01,0.01,10,1655888600
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.5,1,2,FALSE,FALSE,0.01,0.01,0.01,1,1655888601
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.5,1,2,FALSE,FALSE,0.01,0.01,0.01,2,1655888602
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.5,1,2,FALSE,FALSE,0.01,0.01,0.01,3,1655888603
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.5,1,2,FALSE,FALSE,0.01,0.01,0.01,4,1655888604
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.5,1,2,FALSE,FALSE,0.01,0.01,0.01,5,1655888605
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.5,1,2,FALSE,FALSE,0.01,0.01,0.01,6,1655888606
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.5,1,2,FALSE,FALSE,0.01,0.01,0.01,7,1655888607
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.5,1,2,FALSE,FALSE,0.01,0.01,0.01,8,1655888608
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.5,1,2,FALSE,FALSE,0.01,0.01,0.01,9,1655888609
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.5,1,2,FALSE,FALSE,0.01,0.01,0.01,10,1655888610
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,0.01,1,1655888611
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,0.01,2,1655888612
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,0.01,3,1655888613
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,0.01,4,1655888614
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,0.01,5,1655888615
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,0.01,6,1655888616
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,0.01,7,1655888617
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,0.01,8,1655888618
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,0.01,9,1655888619
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,0.01,10,1655888620
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,2,FALSE,FALSE,0.01,0.01,0.01,1,1655888621
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,2,FALSE,FALSE,0.01,0.01,0.01,2,1655888622
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,2,FALSE,FALSE,0.01,0.01,0.01,3,1655888623
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,2,FALSE,FALSE,0.01,0.01,0.01,4,1655888624
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,2,FALSE,FALSE,0.01,0.01,0.01,5,1655888625
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,2,FALSE,FALSE,0.01,0.01,0.01,6,1655888626
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,2,FALSE,FALSE,0.01,0.01,0.01,7,1655888627
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,2,FALSE,FALSE,0.01,0.01,0.01,8,1655888628
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,2,FALSE,FALSE,0.01,0.01,0.01,9,1655888629
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,2,FALSE,FALSE,0.01,0.01,0.01,10,1655888630
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,1,2,FALSE,FALSE,0.01,0.01,0.01,1,1655888631
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,1,2,FALSE,FALSE,0.01,0.01,0.01,2,1655888632
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,1,2,FALSE,FALSE,0.01,0.01,0.01,3,1655888633
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,1,2,FALSE,FALSE,0.01,0.01,0.01,4,1655888634
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,1,2,FALSE,FALSE,0.01,0.01,0.01,5,1655888635
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,1,2,FALSE,FALSE,0.01,0.01,0.01,6,1655888636
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,1,2,FALSE,FALSE,0.01,0.01,0.01,7,1655888637
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,1,2,FALSE,FALSE,0.01,0.01,0.01,8,1655888638
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,1,2,FALSE,FALSE,0.01,0.01,0.01,9,1655888639
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,1,2,FALSE,FALSE,0.01,0.01,0.01,10,1655888640
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,0.01,1,1655888641
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,0.01,2,1655888642
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,0.01,3,1655888643
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,0.01,4,1655888644
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,0.01,5,1655888645
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,0.01,6,1655888646
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,0.01,7,1655888647
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,0.01,8,1655888648
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,0.01,9,1655888649
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,0.01,10,1655888650
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.25,1,2,FALSE,FALSE,0.01,0.01,0.01,1,1655888651
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.25,1,2,FALSE,FALSE,0.01,0.01,0.01,2,1655888652
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.25,1,2,FALSE,FALSE,0.01,0.01,0.01,3,1655888653
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.25,1,2,FALSE,FALSE,0.01,0.01,0.01,4,1655888654
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.25,1,2,FALSE,FALSE,0.01,0.01,0.01,5,1655888655
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.25,1,2,FALSE,FALSE,0.01,0.01,0.01,6,1655888656
