scenario,popsize,nItems,landsize,nClusters,clusterSpread,tmax,genmax,g_patho_init,range_food,range_agents,range_move,handling_time,regen_time,pTransmit,initialInfections,costInfect,nThreads,dispersal,infect_percent,vertical,mProb,mSize,spillover_rate,replicate,ofi
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.1,1,10,FALSE,FALSE,0.01,0.01,0.01,1,1655898560
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.1,1,10,FALSE,FALSE,0.01,0.01,0.01,2,1655898561
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.1,1,10,FALSE,FALSE,0.01,0.01,0.01,3,1655898562
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.1,1,10,FALSE,FALSE,0.01,0.01,0.01,4,1655898563
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.1,1,10,FALSE,FALSE,0.01,0.01,0.01,5,1655898564
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.1,1,10,FALSE,FALSE,0.01,0.01,0.01,6,1655898565
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.1,1,10,FALSE,FALSE,0.01,0.01,0.01,7,1655898566
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.1,1,10,FALSE,FALSE,0.01,0.01,0.01,8,1655898567
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.1,1,10,FALSE,FALSE,0.01,0.01,0.01,9,1655898568
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.1,1,10,FALSE,FALSE,0.01,0.01,0.01,10,1655898569
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,1,10,FALSE,FALSE,0.01,0.01,0.01,1,1655898570
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,1,10,FALSE,FALSE,0.01,0.01,0.01,2,1655898571
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,1,10,FALSE,FALSE,0.01,0.01,0.01,3,1655898572
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,1,10,FALSE,FALSE,0.01,0.01,0.01,4,1655898573
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,1,10,FALSE,FALSE,0.01,0.01,0.01,5,1655898574
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,1,10,FALSE,FALSE,0.01,0.01,0.01,6,1655898575
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,1,10,FALSE,FALSE,0.01,0.01,0.01,7,1655898576
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,1,10,FALSE,FALSE,0.01,0.01,0.01,8,1655898577
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,1,10,FALSE,FALSE,0.01,0.01,0.01,9,1655898578
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,1,10,FALSE,FALSE,0.01,0.01,0.01,10,1655898579
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.5,1,10,FALSE,FALSE,0.01,0.01,0.01,1,1655898580
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.5,1,10,FALSE,FALSE,0.01,0.01,0.01,2,1655898581
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.5,1,10,FALSE,FALSE,0.01,0.01,0.01,3,1655898582
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.5,1,10,FALSE,FALSE,0.01,0.01,0.01,4,1655898583
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.5,1,10,FALSE,FALSE,0.01,0.01,0.01,5,1655898584
