scenario,popsize,nItems,landsize,nClusters,clusterSpread,tmax,genmax,g_patho_init,range_food,range_agents,range_move,handling_time,regen_time,pTransmit,initialInfections,costInfect,nThreads,dispersal,vertical,infect_percent,mProb,mSize,spillover_rate,replicate,ofi
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.025,1,2,FALSE,TRUE,0.01,0.01,0.01,1,1655999523
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.025,1,2,FALSE,TRUE,0.01,0.01,0.01,2,1655999524
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.025,1,2,FALSE,TRUE,0.01,0.01,0.01,3,1655999525
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.025,1,2,FALSE,TRUE,0.01,0.01,0.01,4,1655999526
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.025,1,2,FALSE,TRUE,0.01,0.01,0.01,5,1655999527
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.025,1,2,FALSE,TRUE,0.01,0.01,0.01,6,1655999528
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.025,1,2,FALSE,TRUE,0.01,0.01,0.01,7,1655999529
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.025,1,2,FALSE,TRUE,0.01,0.01,0.01,8,1655999530
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.025,1,2,FALSE,TRUE,0.01,0.01,0.01,9,1655999531
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.025,1,2,FALSE,TRUE,0.01,0.01,0.01,10,1655999532
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.05,1,2,FALSE,TRUE,0.01,0.01,0.01,1,1655999533
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.05,1,2,FALSE,TRUE,0.01,0.01,0.01,2,1655999534
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.05,1,2,FALSE,TRUE,0.01,0.01,0.01,3,1655999535
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.05,1,2,FALSE,TRUE,0.01,0.01,0.01,4,1655999536
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.05,1,2,FALSE,TRUE,0.01,0.01,0.01,5,1655999537
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.05,1,2,FALSE,TRUE,0.01,0.01,0.01,6,1655999538
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.05,1,2,FALSE,TRUE,0.01,0.01,0.01,7,1655999539
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.05,1,2,FALSE,TRUE,0.01,0.01,0.01,8,1655999540
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.05,1,2,FALSE,TRUE,0.01,0.01,0.01,9,1655999541
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.05,1,2,FALSE,TRUE,0.01,0.01,0.01,10,1655999542
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.075,1,2,FALSE,TRUE,0.01,0.01,0.01,1,1655999543
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.075,1,2,FALSE,TRUE,0.01,0.01,0.01,2,1655999544
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.075,1,2,FALSE,TRUE,0.01,0.01,0.01,3,1655999545
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.075,1,2,FALSE,TRUE,0.01,0.01,0.01,4,1655999546
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.075,1,2,FALSE,TRUE,0.01,0.01,0.01,5,1655999547
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.075,1,2,FALSE,TRUE,0.01,0.01,0.01,6,1655999548
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.075,1,2,FALSE,TRUE,0.01,0.01,0.01,7,1655999549
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.075,1,2,FALSE,TRUE,0.01,0.01,0.01,8,1655999550
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.075,1,2,FALSE,TRUE,0.01,0.01,0.01,9,1655999551
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.075,1,2,FALSE,TRUE,0.01,0.01,0.01,10,1655999552
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.025,1,2,FALSE,TRUE,0.01,0.01,0.01,1,1655999553
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.025,1,2,FALSE,TRUE,0.01,0.01,0.01,2,1655999554
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.025,1,2,FALSE,TRUE,0.01,0.01,0.01,3,1655999555
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.025,1,2,FALSE,TRUE,0.01,0.01,0.01,4,1655999556
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.025,1,2,FALSE,TRUE,0.01,0.01,0.01,5,1655999557
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.025,1,2,FALSE,TRUE,0.01,0.01,0.01,6,1655999558
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.025,1,2,FALSE,TRUE,0.01,0.01,0.01,7,1655999559
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.025,1,2,FALSE,TRUE,0.01,0.01,0.01,8,1655999560
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.025,1,2,FALSE,TRUE,0.01,0.01,0.01,9,1655999561
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.025,1,2,FALSE,TRUE,0.01,0.01,0.01,10,1655999562
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.05,1,2,FALSE,TRUE,0.01,0.01,0.01,1,1655999563
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.05,1,2,FALSE,TRUE,0.01,0.01,0.01,2,1655999564
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.05,1,2,FALSE,TRUE,0.01,0.01,0.01,3,1655999565
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.05,1,2,FALSE,TRUE,0.01,0.01,0.01,4,1655999566
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.05,1,2,FALSE,TRUE,0.01,0.01,0.01,5,1655999567
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.05,1,2,FALSE,TRUE,0.01,0.01,0.01,6,1655999568
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.05,1,2,FALSE,TRUE,0.01,0.01,0.01,7,1655999569
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.05,1,2,FALSE,TRUE,0.01,0.01,0.01,8,1655999570
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.05,1,2,FALSE,TRUE,0.01,0.01,0.01,9,1655999571
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.05,1,2,FALSE,TRUE,0.01,0.01,0.01,10,1655999572
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.075,1,2,FALSE,TRUE,0.01,0.01,0.01,1,1655999573
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.075,1,2,FALSE,TRUE,0.01,0.01,0.01,2,1655999574
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.075,1,2,FALSE,TRUE,0.01,0.01,0.01,3,1655999575
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.075,1,2,FALSE,TRUE,0.01,0.01,0.01,4,1655999576
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.075,1,2,FALSE,TRUE,0.01,0.01,0.01,5,1655999577
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.075,1,2,FALSE,TRUE,0.01,0.01,0.01,6,1655999578
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.075,1,2,FALSE,TRUE,0.01,0.01,0.01,7,1655999579
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.075,1,2,FALSE,TRUE,0.01,0.01,0.01,8,1655999580
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.075,1,2,FALSE,TRUE,0.01,0.01,0.01,9,1655999581
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.075,1,2,FALSE,TRUE,0.01,0.01,0.01,10,1655999582
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.025,1,2,FALSE,TRUE,0.01,0.01,0.01,1,1655999583
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.025,1,2,FALSE,TRUE,0.01,0.01,0.01,2,1655999584
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.025,1,2,FALSE,TRUE,0.01,0.01,0.01,3,1655999585
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.025,1,2,FALSE,TRUE,0.01,0.01,0.01,4,1655999586
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.025,1,2,FALSE,TRUE,0.01,0.01,0.01,5,1655999587
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.025,1,2,FALSE,TRUE,0.01,0.01,0.01,6,1655999588
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.025,1,2,FALSE,TRUE,0.01,0.01,0.01,7,1655999589
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.025,1,2,FALSE,TRUE,0.01,0.01,0.01,8,1655999590
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.025,1,2,FALSE,TRUE,0.01,0.01,0.01,9,1655999591
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.025,1,2,FALSE,TRUE,0.01,0.01,0.01,10,1655999592
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.05,1,2,FALSE,TRUE,0.01,0.01,0.01,1,1655999593
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.05,1,2,FALSE,TRUE,0.01,0.01,0.01,2,1655999594
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.05,1,2,FALSE,TRUE,0.01,0.01,0.01,3,1655999595
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.05,1,2,FALSE,TRUE,0.01,0.01,0.01,4,1655999596
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.05,1,2,FALSE,TRUE,0.01,0.01,0.01,5,1655999597
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.05,1,2,FALSE,TRUE,0.01,0.01,0.01,6,1655999598
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.05,1,2,FALSE,TRUE,0.01,0.01,0.01,7,1655999599
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.05,1,2,FALSE,TRUE,0.01,0.01,0.01,8,1655999600
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.05,1,2,FALSE,TRUE,0.01,0.01,0.01,9,1655999601
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.05,1,2,FALSE,TRUE,0.01,0.01,0.01,10,1655999602
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.075,1,2,FALSE,TRUE,0.01,0.01,0.01,1,1655999603
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.075,1,2,FALSE,TRUE,0.01,0.01,0.01,2,1655999604
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.075,1,2,FALSE,TRUE,0.01,0.01,0.01,3,1655999605
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.075,1,2,FALSE,TRUE,0.01,0.01,0.01,4,1655999606
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.075,1,2,FALSE,TRUE,0.01,0.01,0.01,5,1655999607
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.075,1,2,FALSE,TRUE,0.01,0.01,0.01,6,1655999608
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.075,1,2,FALSE,TRUE,0.01,0.01,0.01,7,1655999609
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.075,1,2,FALSE,TRUE,0.01,0.01,0.01,8,1655999610
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.075,1,2,FALSE,TRUE,0.01,0.01,0.01,9,1655999611
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.075,1,2,FALSE,TRUE,0.01,0.01,0.01,10,1655999612
