scenario,popsize,nItems,landsize,nClusters,clusterSpread,tmax,genmax,g_patho_init,range_food,range_agents,range_move,handling_time,regen_time,pTransmit,initialInfections,costInfect,nThreads,dispersal,vertical,infect_percent,mProb,mSize,spillover_rate,replicate,ofi
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,0.05,1,1656329449
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,0.05,2,1656329450
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,0.05,3,1656329451
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,0.05,4,1656329452
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,0.05,5,1656329453
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,0.05,6,1656329454
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,0.05,7,1656329455
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,0.05,8,1656329456
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,0.05,9,1656329457
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,0.05,10,1656329458
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,0.1,1,1656329459
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,0.1,2,1656329460
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,0.1,3,1656329461
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,0.1,4,1656329462
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,0.1,5,1656329463
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,0.1,6,1656329464
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,0.1,7,1656329465
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,0.1,8,1656329466
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,0.1,9,1656329467
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,0.1,10,1656329468
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,0.25,1,1656329469
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,0.25,2,1656329470
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,0.25,3,1656329471
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,0.25,4,1656329472
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,0.25,5,1656329473
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,0.25,6,1656329474
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,0.25,7,1656329475
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,0.25,8,1656329476
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,0.25,9,1656329477
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,0.25,10,1656329478
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,2,FALSE,FALSE,0.01,0.01,0.05,1,1656329479
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,2,FALSE,FALSE,0.01,0.01,0.05,2,1656329480
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,2,FALSE,FALSE,0.01,0.01,0.05,3,1656329481
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,2,FALSE,FALSE,0.01,0.01,0.05,4,1656329482
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,2,FALSE,FALSE,0.01,0.01,0.05,5,1656329483
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,2,FALSE,FALSE,0.01,0.01,0.05,6,1656329484
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,2,FALSE,FALSE,0.01,0.01,0.05,7,1656329485
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,2,FALSE,FALSE,0.01,0.01,0.05,8,1656329486
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,2,FALSE,FALSE,0.01,0.01,0.05,9,1656329487
