scenario,popsize,nItems,landsize,nClusters,clusterSpread,tmax,genmax,g_patho_init,range_food,range_agents,range_move,handling_time,regen_time,pTransmit,initialInfections,costInfect,multithreaded,dispersal,infect_percent,mProb,mSize,replicate,seed
1,500,1800,60,60,1,100,1000,500,1,1,1,5,20,0.05,20,0.1,FALSE,2,FALSE,0.01,0.01,1,1673188584
1,500,1800,60,60,1,100,1000,500,1,1,1,5,20,0.05,20,0.1,FALSE,2,FALSE,0.01,0.01,2,1673188585
1,500,1800,60,60,1,100,1000,500,1,1,1,5,20,0.05,20,0.1,FALSE,2,FALSE,0.01,0.01,3,1673188586
1,500,1800,60,60,1,100,1000,500,1,1,1,5,20,0.05,20,0.1,FALSE,2,FALSE,0.01,0.01,4,1673188587
1,500,1800,60,60,1,100,1000,500,1,1,1,5,20,0.05,20,0.1,FALSE,2,FALSE,0.01,0.01,5,1673188588
1,500,1800,60,60,1,100,1000,500,1,1,1,5,20,0.05,20,0.1,FALSE,2,FALSE,0.01,0.01,6,1673188589
1,500,1800,60,60,1,100,1000,500,1,1,1,5,20,0.05,20,0.1,FALSE,2,FALSE,0.01,0.01,7,1673188590
1,500,1800,60,60,1,100,1000,500,1,1,1,5,20,0.05,20,0.1,FALSE,2,FALSE,0.01,0.01,8,1673188591
1,500,1800,60,60,1,100,1000,500,1,1,1,5,20,0.05,20,0.1,FALSE,2,FALSE,0.01,0.01,9,1673188592
1,500,1800,60,60,1,100,1000,500,1,1,1,5,20,0.05,20,0.1,FALSE,2,FALSE,0.01,0.01,10,1673188593
1,500,1800,60,60,1,100,1000,500,1,1,1,5,20,0.05,20,0.25,FALSE,2,FALSE,0.01,0.01,1,1673188594
1,500,1800,60,60,1,100,1000,500,1,1,1,5,20,0.05,20,0.25,FALSE,2,FALSE,0.01,0.01,2,1673188595
1,500,1800,60,60,1,100,1000,500,1,1,1,5,20,0.05,20,0.25,FALSE,2,FALSE,0.01,0.01,3,1673188596
1,500,1800,60,60,1,100,1000,500,1,1,1,5,20,0.05,20,0.25,FALSE,2,FALSE,0.01,0.01,4,1673188597
1,500,1800,60,60,1,100,1000,500,1,1,1,5,20,0.05,20,0.25,FALSE,2,FALSE,0.01,0.01,5,1673188598
1,500,1800,60,60,1,100,1000,500,1,1,1,5,20,0.05,20,0.25,FALSE,2,FALSE,0.01,0.01,6,1673188599
1,500,1800,60,60,1,100,1000,500,1,1,1,5,20,0.05,20,0.25,FALSE,2,FALSE,0.01,0.01,7,1673188600
1,500,1800,60,60,1,100,1000,500,1,1,1,5,20,0.05,20,0.25,FALSE,2,FALSE,0.01,0.01,8,1673188601
1,500,1800,60,60,1,100,1000,500,1,1,1,5,20,0.05,20,0.25,FALSE,2,FALSE,0.01,0.01,9,1673188602
1,500,1800,60,60,1,100,1000,500,1,1,1,5,20,0.05,20,0.25,FALSE,2,FALSE,0.01,0.01,10,1673188603
1,500,1800,60,60,1,100,1000,500,1,1,1,5,20,0.05,20,0.5,FALSE,2,FALSE,0.01,0.01,1,1673188604
1,500,1800,60,60,1,100,1000,500,1,1,1,5,20,0.05,20,0.5,FALSE,2,FALSE,0.01,0.01,2,1673188605
1,500,1800,60,60,1,100,1000,500,1,1,1,5,20,0.05,20,0.5,FALSE,2,FALSE,0.01,0.01,3,1673188606
1,500,1800,60,60,1,100,1000,500,1,1,1,5,20,0.05,20,0.5,FALSE,2,FALSE,0.01,0.01,4,1673188607
1,500,1800,60,60,1,100,1000,500,1,1,1,5,20,0.05,20,0.5,FALSE,2,FALSE,0.01,0.01,5,1673188608
1,500,1800,60,60,1,100,1000,500,1,1,1,5,20,0.05,20,0.5,FALSE,2,FALSE,0.01,0.01,6,1673188609
1,500,1800,60,60,1,100,1000,500,1,1,1,5,20,0.05,20,0.5,FALSE,2,FALSE,0.01,0.01,7,1673188610
1,500,1800,60,60,1,100,1000,500,1,1,1,5,20,0.05,20,0.5,FALSE,2,FALSE,0.01,0.01,8,1673188611
1,500,1800,60,60,1,100,1000,500,1,1,1,5,20,0.05,20,0.5,FALSE,2,FALSE,0.01,0.01,9,1673188612
1,500,1800,60,60,1,100,1000,500,1,1,1,5,20,0.05,20,0.5,FALSE,2,FALSE,0.01,0.01,10,1673188613
1,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,20,0.1,FALSE,2,FALSE,0.01,0.01,1,1673188614
1,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,20,0.1,FALSE,2,FALSE,0.01,0.01,2,1673188615
1,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,20,0.1,FALSE,2,FALSE,0.01,0.01,3,1673188616
1,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,20,0.1,FALSE,2,FALSE,0.01,0.01,4,1673188617
1,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,20,0.1,FALSE,2,FALSE,0.01,0.01,5,1673188618
1,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,20,0.1,FALSE,2,FALSE,0.01,0.01,6,1673188619
1,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,20,0.1,FALSE,2,FALSE,0.01,0.01,7,1673188620
1,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,20,0.1,FALSE,2,FALSE,0.01,0.01,8,1673188621
1,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,20,0.1,FALSE,2,FALSE,0.01,0.01,9,1673188622
1,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,20,0.1,FALSE,2,FALSE,0.01,0.01,10,1673188623
1,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,20,0.25,FALSE,2,FALSE,0.01,0.01,1,1673188624
1,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,20,0.25,FALSE,2,FALSE,0.01,0.01,2,1673188625
1,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,20,0.25,FALSE,2,FALSE,0.01,0.01,3,1673188626
1,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,20,0.25,FALSE,2,FALSE,0.01,0.01,4,1673188627
1,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,20,0.25,FALSE,2,FALSE,0.01,0.01,5,1673188628
1,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,20,0.25,FALSE,2,FALSE,0.01,0.01,6,1673188629
1,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,20,0.25,FALSE,2,FALSE,0.01,0.01,7,1673188630
1,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,20,0.25,FALSE,2,FALSE,0.01,0.01,8,1673188631
1,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,20,0.25,FALSE,2,FALSE,0.01,0.01,9,1673188632
1,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,20,0.25,FALSE,2,FALSE,0.01,0.01,10,1673188633
1,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,20,0.5,FALSE,2,FALSE,0.01,0.01,1,1673188634
1,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,20,0.5,FALSE,2,FALSE,0.01,0.01,2,1673188635
1,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,20,0.5,FALSE,2,FALSE,0.01,0.01,3,1673188636
1,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,20,0.5,FALSE,2,FALSE,0.01,0.01,4,1673188637
1,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,20,0.5,FALSE,2,FALSE,0.01,0.01,5,1673188638
1,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,20,0.5,FALSE,2,FALSE,0.01,0.01,6,1673188639
1,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,20,0.5,FALSE,2,FALSE,0.01,0.01,7,1673188640
1,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,20,0.5,FALSE,2,FALSE,0.01,0.01,8,1673188641
1,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,20,0.5,FALSE,2,FALSE,0.01,0.01,9,1673188642
1,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,20,0.5,FALSE,2,FALSE,0.01,0.01,10,1673188643
1,500,1800,60,60,1,100,1000,500,1,1,1,5,100,0.05,20,0.1,FALSE,2,FALSE,0.01,0.01,1,1673188644
1,500,1800,60,60,1,100,1000,500,1,1,1,5,100,0.05,20,0.1,FALSE,2,FALSE,0.01,0.01,2,1673188645
1,500,1800,60,60,1,100,1000,500,1,1,1,5,100,0.05,20,0.1,FALSE,2,FALSE,0.01,0.01,3,1673188646
1,500,1800,60,60,1,100,1000,500,1,1,1,5,100,0.05,20,0.1,FALSE,2,FALSE,0.01,0.01,4,1673188647
1,500,1800,60,60,1,100,1000,500,1,1,1,5,100,0.05,20,0.1,FALSE,2,FALSE,0.01,0.01,5,1673188648
1,500,1800,60,60,1,100,1000,500,1,1,1,5,100,0.05,20,0.1,FALSE,2,FALSE,0.01,0.01,6,1673188649
1,500,1800,60,60,1,100,1000,500,1,1,1,5,100,0.05,20,0.1,FALSE,2,FALSE,0.01,0.01,7,1673188650
1,500,1800,60,60,1,100,1000,500,1,1,1,5,100,0.05,20,0.1,FALSE,2,FALSE,0.01,0.01,8,1673188651
1,500,1800,60,60,1,100,1000,500,1,1,1,5,100,0.05,20,0.1,FALSE,2,FALSE,0.01,0.01,9,1673188652
1,500,1800,60,60,1,100,1000,500,1,1,1,5,100,0.05,20,0.1,FALSE,2,FALSE,0.01,0.01,10,1673188653
1,500,1800,60,60,1,100,1000,500,1,1,1,5,100,0.05,20,0.25,FALSE,2,FALSE,0.01,0.01,1,1673188654
1,500,1800,60,60,1,100,1000,500,1,1,1,5,100,0.05,20,0.25,FALSE,2,FALSE,0.01,0.01,2,1673188655
