scenario,popsize,nItems,landsize,nClusters,clusterSpread,tmax,genmax,g_patho_init,range_food,range_agents,range_move,handling_time,regen_time,pTransmit,initialInfections,costInfect,multithreaded,dispersal,infect_percent,reprod_threshold,mProb,mSize,replicate,seed
1,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,20,0.1,FALSE,2,FALSE,TRUE,0.01,0.01,1,1673799392
1,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,20,0.1,FALSE,2,FALSE,TRUE,0.01,0.01,2,1673799393
1,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,20,0.1,FALSE,2,FALSE,TRUE,0.01,0.01,3,1673799394
1,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,20,0.1,FALSE,2,FALSE,TRUE,0.01,0.01,4,1673799395
1,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,20,0.1,FALSE,2,FALSE,TRUE,0.01,0.01,5,1673799396
1,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,20,0.1,FALSE,2,FALSE,TRUE,0.01,0.01,6,1673799397
1,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,20,0.1,FALSE,2,FALSE,TRUE,0.01,0.01,7,1673799398
1,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,20,0.1,FALSE,2,FALSE,TRUE,0.01,0.01,8,1673799399
1,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,20,0.1,FALSE,2,FALSE,TRUE,0.01,0.01,9,1673799400
1,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,20,0.1,FALSE,2,FALSE,TRUE,0.01,0.01,10,1673799401
1,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,20,0.25,FALSE,2,FALSE,TRUE,0.01,0.01,1,1673799402
1,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,20,0.25,FALSE,2,FALSE,TRUE,0.01,0.01,2,1673799403
1,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,20,0.25,FALSE,2,FALSE,TRUE,0.01,0.01,3,1673799404
1,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,20,0.25,FALSE,2,FALSE,TRUE,0.01,0.01,4,1673799405
1,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,20,0.25,FALSE,2,FALSE,TRUE,0.01,0.01,5,1673799406
1,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,20,0.25,FALSE,2,FALSE,TRUE,0.01,0.01,6,1673799407
1,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,20,0.25,FALSE,2,FALSE,TRUE,0.01,0.01,7,1673799408
1,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,20,0.25,FALSE,2,FALSE,TRUE,0.01,0.01,8,1673799409
1,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,20,0.25,FALSE,2,FALSE,TRUE,0.01,0.01,9,1673799410
1,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,20,0.25,FALSE,2,FALSE,TRUE,0.01,0.01,10,1673799411
1,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,20,0.5,FALSE,2,FALSE,TRUE,0.01,0.01,1,1673799412
1,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,20,0.5,FALSE,2,FALSE,TRUE,0.01,0.01,2,1673799413
1,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,20,0.5,FALSE,2,FALSE,TRUE,0.01,0.01,3,1673799414
1,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,20,0.5,FALSE,2,FALSE,TRUE,0.01,0.01,4,1673799415
1,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,20,0.5,FALSE,2,FALSE,TRUE,0.01,0.01,5,1673799416
1,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,20,0.5,FALSE,2,FALSE,TRUE,0.01,0.01,6,1673799417
1,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,20,0.5,FALSE,2,FALSE,TRUE,0.01,0.01,7,1673799418
1,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,20,0.5,FALSE,2,FALSE,TRUE,0.01,0.01,8,1673799419
1,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,20,0.5,FALSE,2,FALSE,TRUE,0.01,0.01,9,1673799420
1,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,20,0.5,FALSE,2,FALSE,TRUE,0.01,0.01,10,1673799421
