scenario,popsize,nItems,landsize,nClusters,clusterSpread,tmax,genmax,g_patho_init,range_food,range_agents,range_move,handling_time,regen_time,pTransmit,initialInfections,costInfect,multithreaded,dispersal,infect_percent,mProb,mSize,replicate,seed
1,500,1800,60,60,1,100,1000,500,1,1,1,0,50,0.05,20,0.25,FALSE,2,FALSE,0.01,0.01,1,1673799587
1,500,1800,60,60,1,100,1000,500,1,1,1,0,50,0.05,20,0.25,FALSE,2,FALSE,0.01,0.01,2,1673799588
1,500,1800,60,60,1,100,1000,500,1,1,1,0,50,0.05,20,0.25,FALSE,2,FALSE,0.01,0.01,3,1673799589
1,500,1800,60,60,1,100,1000,500,1,1,1,0,50,0.05,20,0.25,FALSE,2,FALSE,0.01,0.01,4,1673799590
1,500,1800,60,60,1,100,1000,500,1,1,1,0,50,0.05,20,0.25,FALSE,2,FALSE,0.01,0.01,5,1673799591
1,500,1800,60,60,1,100,1000,500,1,1,1,0,50,0.05,20,0.25,FALSE,2,FALSE,0.01,0.01,6,1673799592
1,500,1800,60,60,1,100,1000,500,1,1,1,0,50,0.05,20,0.25,FALSE,2,FALSE,0.01,0.01,7,1673799593
1,500,1800,60,60,1,100,1000,500,1,1,1,0,50,0.05,20,0.25,FALSE,2,FALSE,0.01,0.01,8,1673799594
1,500,1800,60,60,1,100,1000,500,1,1,1,0,50,0.05,20,0.25,FALSE,2,FALSE,0.01,0.01,9,1673799595
1,500,1800,60,60,1,100,1000,500,1,1,1,0,50,0.05,20,0.25,FALSE,2,FALSE,0.01,0.01,10,1673799596
1,500,1800,60,60,1,100,1000,500,1,1,1,1,50,0.05,20,0.25,FALSE,2,FALSE,0.01,0.01,1,1673799597
1,500,1800,60,60,1,100,1000,500,1,1,1,1,50,0.05,20,0.25,FALSE,2,FALSE,0.01,0.01,2,1673799598
1,500,1800,60,60,1,100,1000,500,1,1,1,1,50,0.05,20,0.25,FALSE,2,FALSE,0.01,0.01,3,1673799599
1,500,1800,60,60,1,100,1000,500,1,1,1,1,50,0.05,20,0.25,FALSE,2,FALSE,0.01,0.01,4,1673799600
1,500,1800,60,60,1,100,1000,500,1,1,1,1,50,0.05,20,0.25,FALSE,2,FALSE,0.01,0.01,5,1673799601
1,500,1800,60,60,1,100,1000,500,1,1,1,1,50,0.05,20,0.25,FALSE,2,FALSE,0.01,0.01,6,1673799602
1,500,1800,60,60,1,100,1000,500,1,1,1,1,50,0.05,20,0.25,FALSE,2,FALSE,0.01,0.01,7,1673799603
1,500,1800,60,60,1,100,1000,500,1,1,1,1,50,0.05,20,0.25,FALSE,2,FALSE,0.01,0.01,8,1673799604
1,500,1800,60,60,1,100,1000,500,1,1,1,1,50,0.05,20,0.25,FALSE,2,FALSE,0.01,0.01,9,1673799605
1,500,1800,60,60,1,100,1000,500,1,1,1,1,50,0.05,20,0.25,FALSE,2,FALSE,0.01,0.01,10,1673799606
1,500,1800,60,60,1,100,1000,500,1,1,1,2,50,0.05,20,0.25,FALSE,2,FALSE,0.01,0.01,1,1673799607
1,500,1800,60,60,1,100,1000,500,1,1,1,2,50,0.05,20,0.25,FALSE,2,FALSE,0.01,0.01,2,1673799608
1,500,1800,60,60,1,100,1000,500,1,1,1,2,50,0.05,20,0.25,FALSE,2,FALSE,0.01,0.01,3,1673799609
1,500,1800,60,60,1,100,1000,500,1,1,1,2,50,0.05,20,0.25,FALSE,2,FALSE,0.01,0.01,4,1673799610
1,500,1800,60,60,1,100,1000,500,1,1,1,2,50,0.05,20,0.25,FALSE,2,FALSE,0.01,0.01,5,1673799611
1,500,1800,60,60,1,100,1000,500,1,1,1,2,50,0.05,20,0.25,FALSE,2,FALSE,0.01,0.01,6,1673799612
1,500,1800,60,60,1,100,1000,500,1,1,1,2,50,0.05,20,0.25,FALSE,2,FALSE,0.01,0.01,7,1673799613
1,500,1800,60,60,1,100,1000,500,1,1,1,2,50,0.05,20,0.25,FALSE,2,FALSE,0.01,0.01,8,1673799614
1,500,1800,60,60,1,100,1000,500,1,1,1,2,50,0.05,20,0.25,FALSE,2,FALSE,0.01,0.01,9,1673799615
1,500,1800,60,60,1,100,1000,500,1,1,1,2,50,0.05,20,0.25,FALSE,2,FALSE,0.01,0.01,10,1673799616
1,500,1800,60,60,1,100,1000,500,1,1,1,10,50,0.05,20,0.25,FALSE,2,FALSE,0.01,0.01,1,1673799617
1,500,1800,60,60,1,100,1000,500,1,1,1,10,50,0.05,20,0.25,FALSE,2,FALSE,0.01,0.01,2,1673799618
1,500,1800,60,60,1,100,1000,500,1,1,1,10,50,0.05,20,0.25,FALSE,2,FALSE,0.01,0.01,3,1673799619
1,500,1800,60,60,1,100,1000,500,1,1,1,10,50,0.05,20,0.25,FALSE,2,FALSE,0.01,0.01,4,1673799620
1,500,1800,60,60,1,100,1000,500,1,1,1,10,50,0.05,20,0.25,FALSE,2,FALSE,0.01,0.01,5,1673799621
1,500,1800,60,60,1,100,1000,500,1,1,1,10,50,0.05,20,0.25,FALSE,2,FALSE,0.01,0.01,6,1673799622
1,500,1800,60,60,1,100,1000,500,1,1,1,10,50,0.05,20,0.25,FALSE,2,FALSE,0.01,0.01,7,1673799623
1,500,1800,60,60,1,100,1000,500,1,1,1,10,50,0.05,20,0.25,FALSE,2,FALSE,0.01,0.01,8,1673799624
1,500,1800,60,60,1,100,1000,500,1,1,1,10,50,0.05,20,0.25,FALSE,2,FALSE,0.01,0.01,9,1673799625
1,500,1800,60,60,1,100,1000,500,1,1,1,10,50,0.05,20,0.25,FALSE,2,FALSE,0.01,0.01,10,1673799626
