scenario,popsize,nItems,landsize,nClusters,clusterSpread,tmax,genmax,g_patho_init,range_food,range_agents,range_move,handling_time,regen_time,pTransmit,initialInfections,costInfect,multithreaded,dispersal,infect_percent,mProb,mSize,replicate,seed
1,500,1800,60,60,1,100,1000,500,1,1,1,5,20,0.05,20,0.1,FALSE,10,FALSE,0.01,0.01,1,1673812344
1,500,1800,60,60,1,100,1000,500,1,1,1,5,20,0.05,20,0.1,FALSE,10,FALSE,0.01,0.01,2,1673812345
1,500,1800,60,60,1,100,1000,500,1,1,1,5,20,0.05,20,0.1,FALSE,10,FALSE,0.01,0.01,3,1673812346
1,500,1800,60,60,1,100,1000,500,1,1,1,5,20,0.05,20,0.1,FALSE,10,FALSE,0.01,0.01,4,1673812347
1,500,1800,60,60,1,100,1000,500,1,1,1,5,20,0.05,20,0.1,FALSE,10,FALSE,0.01,0.01,5,1673812348
1,500,1800,60,60,1,100,1000,500,1,1,1,5,20,0.05,20,0.1,FALSE,10,FALSE,0.01,0.01,6,1673812349
1,500,1800,60,60,1,100,1000,500,1,1,1,5,20,0.05,20,0.1,FALSE,10,FALSE,0.01,0.01,7,1673812350
1,500,1800,60,60,1,100,1000,500,1,1,1,5,20,0.05,20,0.1,FALSE,10,FALSE,0.01,0.01,8,1673812351
1,500,1800,60,60,1,100,1000,500,1,1,1,5,20,0.05,20,0.1,FALSE,10,FALSE,0.01,0.01,9,1673812352
1,500,1800,60,60,1,100,1000,500,1,1,1,5,20,0.05,20,0.1,FALSE,10,FALSE,0.01,0.01,10,1673812353
1,500,1800,60,60,1,100,1000,500,1,1,1,5,20,0.05,20,0.25,FALSE,10,FALSE,0.01,0.01,1,1673812354
1,500,1800,60,60,1,100,1000,500,1,1,1,5,20,0.05,20,0.25,FALSE,10,FALSE,0.01,0.01,2,1673812355
1,500,1800,60,60,1,100,1000,500,1,1,1,5,20,0.05,20,0.25,FALSE,10,FALSE,0.01,0.01,3,1673812356
1,500,1800,60,60,1,100,1000,500,1,1,1,5,20,0.05,20,0.25,FALSE,10,FALSE,0.01,0.01,4,1673812357
1,500,1800,60,60,1,100,1000,500,1,1,1,5,20,0.05,20,0.25,FALSE,10,FALSE,0.01,0.01,5,1673812358
1,500,1800,60,60,1,100,1000,500,1,1,1,5,20,0.05,20,0.25,FALSE,10,FALSE,0.01,0.01,6,1673812359
1,500,1800,60,60,1,100,1000,500,1,1,1,5,20,0.05,20,0.25,FALSE,10,FALSE,0.01,0.01,7,1673812360
1,500,1800,60,60,1,100,1000,500,1,1,1,5,20,0.05,20,0.25,FALSE,10,FALSE,0.01,0.01,8,1673812361
1,500,1800,60,60,1,100,1000,500,1,1,1,5,20,0.05,20,0.25,FALSE,10,FALSE,0.01,0.01,9,1673812362
1,500,1800,60,60,1,100,1000,500,1,1,1,5,20,0.05,20,0.25,FALSE,10,FALSE,0.01,0.01,10,1673812363
1,500,1800,60,60,1,100,1000,500,1,1,1,5,20,0.05,20,0.5,FALSE,10,FALSE,0.01,0.01,1,1673812364
1,500,1800,60,60,1,100,1000,500,1,1,1,5,20,0.05,20,0.5,FALSE,10,FALSE,0.01,0.01,2,1673812365
1,500,1800,60,60,1,100,1000,500,1,1,1,5,20,0.05,20,0.5,FALSE,10,FALSE,0.01,0.01,3,1673812366
1,500,1800,60,60,1,100,1000,500,1,1,1,5,20,0.05,20,0.5,FALSE,10,FALSE,0.01,0.01,4,1673812367
1,500,1800,60,60,1,100,1000,500,1,1,1,5,20,0.05,20,0.5,FALSE,10,FALSE,0.01,0.01,5,1673812368
1,500,1800,60,60,1,100,1000,500,1,1,1,5,20,0.05,20,0.5,FALSE,10,FALSE,0.01,0.01,6,1673812369
1,500,1800,60,60,1,100,1000,500,1,1,1,5,20,0.05,20,0.5,FALSE,10,FALSE,0.01,0.01,7,1673812370
1,500,1800,60,60,1,100,1000,500,1,1,1,5,20,0.05,20,0.5,FALSE,10,FALSE,0.01,0.01,8,1673812371
1,500,1800,60,60,1,100,1000,500,1,1,1,5,20,0.05,20,0.5,FALSE,10,FALSE,0.01,0.01,9,1673812372
1,500,1800,60,60,1,100,1000,500,1,1,1,5,20,0.05,20,0.5,FALSE,10,FALSE,0.01,0.01,10,1673812373
1,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,20,0.1,FALSE,10,FALSE,0.01,0.01,1,1673812374
1,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,20,0.1,FALSE,10,FALSE,0.01,0.01,2,1673812375
1,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,20,0.1,FALSE,10,FALSE,0.01,0.01,3,1673812376
1,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,20,0.1,FALSE,10,FALSE,0.01,0.01,4,1673812377
1,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,20,0.1,FALSE,10,FALSE,0.01,0.01,5,1673812378
1,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,20,0.1,FALSE,10,FALSE,0.01,0.01,6,1673812379
1,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,20,0.1,FALSE,10,FALSE,0.01,0.01,7,1673812380
1,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,20,0.1,FALSE,10,FALSE,0.01,0.01,8,1673812381
1,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,20,0.1,FALSE,10,FALSE,0.01,0.01,9,1673812382
1,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,20,0.1,FALSE,10,FALSE,0.01,0.01,10,1673812383
1,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,20,0.25,FALSE,10,FALSE,0.01,0.01,1,1673812384
1,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,20,0.25,FALSE,10,FALSE,0.01,0.01,2,1673812385
1,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,20,0.25,FALSE,10,FALSE,0.01,0.01,3,1673812386
1,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,20,0.25,FALSE,10,FALSE,0.01,0.01,4,1673812387
1,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,20,0.25,FALSE,10,FALSE,0.01,0.01,5,1673812388
1,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,20,0.25,FALSE,10,FALSE,0.01,0.01,6,1673812389
1,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,20,0.25,FALSE,10,FALSE,0.01,0.01,7,1673812390
1,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,20,0.25,FALSE,10,FALSE,0.01,0.01,8,1673812391
1,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,20,0.25,FALSE,10,FALSE,0.01,0.01,9,1673812392
1,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,20,0.25,FALSE,10,FALSE,0.01,0.01,10,1673812393
1,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,20,0.5,FALSE,10,FALSE,0.01,0.01,1,1673812394
1,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,20,0.5,FALSE,10,FALSE,0.01,0.01,2,1673812395
1,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,20,0.5,FALSE,10,FALSE,0.01,0.01,3,1673812396
1,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,20,0.5,FALSE,10,FALSE,0.01,0.01,4,1673812397
1,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,20,0.5,FALSE,10,FALSE,0.01,0.01,5,1673812398
1,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,20,0.5,FALSE,10,FALSE,0.01,0.01,6,1673812399
1,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,20,0.5,FALSE,10,FALSE,0.01,0.01,7,1673812400
1,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,20,0.5,FALSE,10,FALSE,0.01,0.01,8,1673812401
1,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,20,0.5,FALSE,10,FALSE,0.01,0.01,9,1673812402
1,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,20,0.5,FALSE,10,FALSE,0.01,0.01,10,1673812403
1,500,1800,60,60,1,100,1000,500,1,1,1,5,100,0.05,20,0.1,FALSE,10,FALSE,0.01,0.01,1,1673812404
1,500,1800,60,60,1,100,1000,500,1,1,1,5,100,0.05,20,0.1,FALSE,10,FALSE,0.01,0.01,2,1673812405
1,500,1800,60,60,1,100,1000,500,1,1,1,5,100,0.05,20,0.1,FALSE,10,FALSE,0.01,0.01,3,1673812406
1,500,1800,60,60,1,100,1000,500,1,1,1,5,100,0.05,20,0.1,FALSE,10,FALSE,0.01,0.01,4,1673812407
1,500,1800,60,60,1,100,1000,500,1,1,1,5,100,0.05,20,0.1,FALSE,10,FALSE,0.01,0.01,5,1673812408
1,500,1800,60,60,1,100,1000,500,1,1,1,5,100,0.05,20,0.1,FALSE,10,FALSE,0.01,0.01,6,1673812409
1,500,1800,60,60,1,100,1000,500,1,1,1,5,100,0.05,20,0.1,FALSE,10,FALSE,0.01,0.01,7,1673812410
1,500,1800,60,60,1,100,1000,500,1,1,1,5,100,0.05,20,0.1,FALSE,10,FALSE,0.01,0.01,8,1673812411
1,500,1800,60,60,1,100,1000,500,1,1,1,5,100,0.05,20,0.1,FALSE,10,FALSE,0.01,0.01,9,1673812412
1,500,1800,60,60,1,100,1000,500,1,1,1,5,100,0.05,20,0.1,FALSE,10,FALSE,0.01,0.01,10,1673812413
1,500,1800,60,60,1,100,1000,500,1,1,1,5,100,0.05,20,0.25,FALSE,10,FALSE,0.01,0.01,1,1673812414
1,500,1800,60,60,1,100,1000,500,1,1,1,5,100,0.05,20,0.25,FALSE,10,FALSE,0.01,0.01,2,1673812415
1,500,1800,60,60,1,100,1000,500,1,1,1,5,100,0.05,20,0.25,FALSE,10,FALSE,0.01,0.01,3,1673812416
1,500,1800,60,60,1,100,1000,500,1,1,1,5,100,0.05,20,0.25,FALSE,10,FALSE,0.01,0.01,4,1673812417
1,500,1800,60,60,1,100,1000,500,1,1,1,5,100,0.05,20,0.25,FALSE,10,FALSE,0.01,0.01,5,1673812418
1,500,1800,60,60,1,100,1000,500,1,1,1,5,100,0.05,20,0.25,FALSE,10,FALSE,0.01,0.01,6,1673812419
1,500,1800,60,60,1,100,1000,500,1,1,1,5,100,0.05,20,0.25,FALSE,10,FALSE,0.01,0.01,7,1673812420
1,500,1800,60,60,1,100,1000,500,1,1,1,5,100,0.05,20,0.25,FALSE,10,FALSE,0.01,0.01,8,1673812421
1,500,1800,60,60,1,100,1000,500,1,1,1,5,100,0.05,20,0.25,FALSE,10,FALSE,0.01,0.01,9,1673812422
1,500,1800,60,60,1,100,1000,500,1,1,1,5,100,0.05,20,0.25,FALSE,10,FALSE,0.01,0.01,10,1673812423
1,500,1800,60,60,1,100,1000,500,1,1,1,5,100,0.05,20,0.5,FALSE,10,FALSE,0.01,0.01,1,1673812424
1,500,1800,60,60,1,100,1000,500,1,1,1,5,100,0.05,20,0.5,FALSE,10,FALSE,0.01,0.01,2,1673812425
1,500,1800,60,60,1,100,1000,500,1,1,1,5,100,0.05,20,0.5,FALSE,10,FALSE,0.01,0.01,3,1673812426
1,500,1800,60,60,1,100,1000,500,1,1,1,5,100,0.05,20,0.5,FALSE,10,FALSE,0.01,0.01,4,1673812427
1,500,1800,60,60,1,100,1000,500,1,1,1,5,100,0.05,20,0.5,FALSE,10,FALSE,0.01,0.01,5,1673812428
1,500,1800,60,60,1,100,1000,500,1,1,1,5,100,0.05,20,0.5,FALSE,10,FALSE,0.01,0.01,6,1673812429
1,500,1800,60,60,1,100,1000,500,1,1,1,5,100,0.05,20,0.5,FALSE,10,FALSE,0.01,0.01,7,1673812430
1,500,1800,60,60,1,100,1000,500,1,1,1,5,100,0.05,20,0.5,FALSE,10,FALSE,0.01,0.01,8,1673812431
1,500,1800,60,60,1,100,1000,500,1,1,1,5,100,0.05,20,0.5,FALSE,10,FALSE,0.01,0.01,9,1673812432
1,500,1800,60,60,1,100,1000,500,1,1,1,5,100,0.05,20,0.5,FALSE,10,FALSE,0.01,0.01,10,1673812433
