scenario,popsize,nItems,landsize,nClusters,clusterSpread,tmax,genmax,g_patho_init,range_food,range_agents,range_move,handling_time,regen_time,pTransmit,initialInfections,costInfect,multithreaded,dispersal,infect_percent,mProb,mSize,replicate,seed
1,500,1800,60,60,1,100,1000,500,1,1,1,5,20,0.05,20,0.025,FALSE,2,TRUE,0.01,0.01,1,1673812629
1,500,1800,60,60,1,100,1000,500,1,1,1,5,20,0.05,20,0.025,FALSE,2,TRUE,0.01,0.01,2,1673812630
1,500,1800,60,60,1,100,1000,500,1,1,1,5,20,0.05,20,0.025,FALSE,2,TRUE,0.01,0.01,3,1673812631
1,500,1800,60,60,1,100,1000,500,1,1,1,5,20,0.05,20,0.025,FALSE,2,TRUE,0.01,0.01,4,1673812632
1,500,1800,60,60,1,100,1000,500,1,1,1,5,20,0.05,20,0.025,FALSE,2,TRUE,0.01,0.01,5,1673812633
1,500,1800,60,60,1,100,1000,500,1,1,1,5,20,0.05,20,0.025,FALSE,2,TRUE,0.01,0.01,6,1673812634
1,500,1800,60,60,1,100,1000,500,1,1,1,5,20,0.05,20,0.025,FALSE,2,TRUE,0.01,0.01,7,1673812635
1,500,1800,60,60,1,100,1000,500,1,1,1,5,20,0.05,20,0.025,FALSE,2,TRUE,0.01,0.01,8,1673812636
1,500,1800,60,60,1,100,1000,500,1,1,1,5,20,0.05,20,0.025,FALSE,2,TRUE,0.01,0.01,9,1673812637
1,500,1800,60,60,1,100,1000,500,1,1,1,5,20,0.05,20,0.025,FALSE,2,TRUE,0.01,0.01,10,1673812638
1,500,1800,60,60,1,100,1000,500,1,1,1,5,20,0.05,20,0.05,FALSE,2,TRUE,0.01,0.01,1,1673812639
1,500,1800,60,60,1,100,1000,500,1,1,1,5,20,0.05,20,0.05,FALSE,2,TRUE,0.01,0.01,2,1673812640
1,500,1800,60,60,1,100,1000,500,1,1,1,5,20,0.05,20,0.05,FALSE,2,TRUE,0.01,0.01,3,1673812641
1,500,1800,60,60,1,100,1000,500,1,1,1,5,20,0.05,20,0.05,FALSE,2,TRUE,0.01,0.01,4,1673812642
1,500,1800,60,60,1,100,1000,500,1,1,1,5,20,0.05,20,0.05,FALSE,2,TRUE,0.01,0.01,5,1673812643
1,500,1800,60,60,1,100,1000,500,1,1,1,5,20,0.05,20,0.05,FALSE,2,TRUE,0.01,0.01,6,1673812644
1,500,1800,60,60,1,100,1000,500,1,1,1,5,20,0.05,20,0.05,FALSE,2,TRUE,0.01,0.01,7,1673812645
1,500,1800,60,60,1,100,1000,500,1,1,1,5,20,0.05,20,0.05,FALSE,2,TRUE,0.01,0.01,8,1673812646
1,500,1800,60,60,1,100,1000,500,1,1,1,5,20,0.05,20,0.05,FALSE,2,TRUE,0.01,0.01,9,1673812647
1,500,1800,60,60,1,100,1000,500,1,1,1,5,20,0.05,20,0.05,FALSE,2,TRUE,0.01,0.01,10,1673812648
1,500,1800,60,60,1,100,1000,500,1,1,1,5,20,0.05,20,0.075,FALSE,2,TRUE,0.01,0.01,1,1673812649
1,500,1800,60,60,1,100,1000,500,1,1,1,5,20,0.05,20,0.075,FALSE,2,TRUE,0.01,0.01,2,1673812650
1,500,1800,60,60,1,100,1000,500,1,1,1,5,20,0.05,20,0.075,FALSE,2,TRUE,0.01,0.01,3,1673812651
1,500,1800,60,60,1,100,1000,500,1,1,1,5,20,0.05,20,0.075,FALSE,2,TRUE,0.01,0.01,4,1673812652
1,500,1800,60,60,1,100,1000,500,1,1,1,5,20,0.05,20,0.075,FALSE,2,TRUE,0.01,0.01,5,1673812653
1,500,1800,60,60,1,100,1000,500,1,1,1,5,20,0.05,20,0.075,FALSE,2,TRUE,0.01,0.01,6,1673812654
1,500,1800,60,60,1,100,1000,500,1,1,1,5,20,0.05,20,0.075,FALSE,2,TRUE,0.01,0.01,7,1673812655
1,500,1800,60,60,1,100,1000,500,1,1,1,5,20,0.05,20,0.075,FALSE,2,TRUE,0.01,0.01,8,1673812656
