scenario,popsize,nItems,landsize,nClusters,clusterSpread,tmax,genmax,g_patho_init,range_food,range_agents,range_move,handling_time,regen_time,pTransmit,initialInfections,costInfect,multithreaded,dispersal,vertical,infect_percent,mProb,mSize,spillover_rate,replicate,seed
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.1,FALSE,2,FALSE,FALSE,0.01,0.01,0,1,1675600789
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.1,FALSE,2,FALSE,FALSE,0.01,0.01,0,2,1675600790
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.1,FALSE,2,FALSE,FALSE,0.01,0.01,0,3,1675600791
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.1,FALSE,2,FALSE,FALSE,0.01,0.01,0,4,1675600792
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.1,FALSE,2,FALSE,FALSE,0.01,0.01,0,5,1675600793
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.1,FALSE,2,FALSE,FALSE,0.01,0.01,0,6,1675600794
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.1,FALSE,2,FALSE,FALSE,0.01,0.01,0,7,1675600795
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.1,FALSE,2,FALSE,FALSE,0.01,0.01,0,8,1675600796
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.1,FALSE,2,FALSE,FALSE,0.01,0.01,0,9,1675600797
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.1,FALSE,2,FALSE,FALSE,0.01,0.01,0,10,1675600798
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,FALSE,2,FALSE,FALSE,0.01,0.01,0,1,1675600799
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,FALSE,2,FALSE,FALSE,0.01,0.01,0,2,1675600800
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,FALSE,2,FALSE,FALSE,0.01,0.01,0,3,1675600801
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,FALSE,2,FALSE,FALSE,0.01,0.01,0,4,1675600802
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,FALSE,2,FALSE,FALSE,0.01,0.01,0,5,1675600803
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,FALSE,2,FALSE,FALSE,0.01,0.01,0,6,1675600804
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,FALSE,2,FALSE,FALSE,0.01,0.01,0,7,1675600805
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,FALSE,2,FALSE,FALSE,0.01,0.01,0,8,1675600806
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,FALSE,2,FALSE,FALSE,0.01,0.01,0,9,1675600807
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,FALSE,2,FALSE,FALSE,0.01,0.01,0,10,1675600808
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.5,FALSE,2,FALSE,FALSE,0.01,0.01,0,1,1675600809
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.5,FALSE,2,FALSE,FALSE,0.01,0.01,0,2,1675600810
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.5,FALSE,2,FALSE,FALSE,0.01,0.01,0,3,1675600811
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.5,FALSE,2,FALSE,FALSE,0.01,0.01,0,4,1675600812
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.5,FALSE,2,FALSE,FALSE,0.01,0.01,0,5,1675600813
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.5,FALSE,2,FALSE,FALSE,0.01,0.01,0,6,1675600814
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.5,FALSE,2,FALSE,FALSE,0.01,0.01,0,7,1675600815
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.5,FALSE,2,FALSE,FALSE,0.01,0.01,0,8,1675600816
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.5,FALSE,2,FALSE,FALSE,0.01,0.01,0,9,1675600817
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.5,FALSE,2,FALSE,FALSE,0.01,0.01,0,10,1675600818
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,FALSE,2,FALSE,FALSE,0.01,0.01,0,1,1675600819
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,FALSE,2,FALSE,FALSE,0.01,0.01,0,2,1675600820
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,FALSE,2,FALSE,FALSE,0.01,0.01,0,3,1675600821
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,FALSE,2,FALSE,FALSE,0.01,0.01,0,4,1675600822
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,FALSE,2,FALSE,FALSE,0.01,0.01,0,5,1675600823
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,FALSE,2,FALSE,FALSE,0.01,0.01,0,6,1675600824
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,FALSE,2,FALSE,FALSE,0.01,0.01,0,7,1675600825
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,FALSE,2,FALSE,FALSE,0.01,0.01,0,8,1675600826
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,FALSE,2,FALSE,FALSE,0.01,0.01,0,9,1675600827
