scenario,popsize,nItems,landsize,nClusters,clusterSpread,tmax,genmax,g_patho_init,range_food,range_agents,range_move,handling_time,regen_time,pTransmit,p_v_transmit,initialInfections,costInfect,multithreaded,dispersal,vertical,infect_percent,mProb,mSize,replicate,seed
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,0.1,20,0.1,FALSE,2,TRUE,FALSE,0.01,0.01,1,1675601154
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,0.1,20,0.1,FALSE,2,TRUE,FALSE,0.01,0.01,2,1675601155
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,0.1,20,0.1,FALSE,2,TRUE,FALSE,0.01,0.01,3,1675601156
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,0.1,20,0.1,FALSE,2,TRUE,FALSE,0.01,0.01,4,1675601157
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,0.1,20,0.1,FALSE,2,TRUE,FALSE,0.01,0.01,5,1675601158
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,0.1,20,0.1,FALSE,2,TRUE,FALSE,0.01,0.01,6,1675601159
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,0.1,20,0.1,FALSE,2,TRUE,FALSE,0.01,0.01,7,1675601160
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,0.1,20,0.1,FALSE,2,TRUE,FALSE,0.01,0.01,8,1675601161
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,0.1,20,0.1,FALSE,2,TRUE,FALSE,0.01,0.01,9,1675601162
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,0.1,20,0.1,FALSE,2,TRUE,FALSE,0.01,0.01,10,1675601163
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,0.1,20,0.25,FALSE,2,TRUE,FALSE,0.01,0.01,1,1675601164
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,0.1,20,0.25,FALSE,2,TRUE,FALSE,0.01,0.01,2,1675601165
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,0.1,20,0.25,FALSE,2,TRUE,FALSE,0.01,0.01,3,1675601166
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,0.1,20,0.25,FALSE,2,TRUE,FALSE,0.01,0.01,4,1675601167
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,0.1,20,0.25,FALSE,2,TRUE,FALSE,0.01,0.01,5,1675601168
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,0.1,20,0.25,FALSE,2,TRUE,FALSE,0.01,0.01,6,1675601169
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,0.1,20,0.25,FALSE,2,TRUE,FALSE,0.01,0.01,7,1675601170
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,0.1,20,0.25,FALSE,2,TRUE,FALSE,0.01,0.01,8,1675601171
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,0.1,20,0.25,FALSE,2,TRUE,FALSE,0.01,0.01,9,1675601172
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,0.1,20,0.25,FALSE,2,TRUE,FALSE,0.01,0.01,10,1675601173
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,0.1,20,0.5,FALSE,2,TRUE,FALSE,0.01,0.01,1,1675601174
