scenario,popsize,nItems,landsize,nClusters,clusterSpread,tmax,genmax,g_patho_init,range_food,range_agents,range_move,handling_time,regen_time,pTransmit,initialInfections,costInfect,multithreaded,dispersal,infect_percent,mProb,mSize,replicate,seed
1,500,1800,60,10,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,FALSE,2,FALSE,0.01,0.01,1,1675622228
1,500,1800,60,10,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,FALSE,2,FALSE,0.01,0.01,2,1675622229
1,500,1800,60,10,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,FALSE,2,FALSE,0.01,0.01,3,1675622230
1,500,1800,60,10,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,FALSE,2,FALSE,0.01,0.01,4,1675622231
1,500,1800,60,10,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,FALSE,2,FALSE,0.01,0.01,5,1675622232
1,500,1800,60,10,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,FALSE,2,FALSE,0.01,0.01,6,1675622233
1,500,1800,60,10,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,FALSE,2,FALSE,0.01,0.01,7,1675622234
1,500,1800,60,10,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,FALSE,2,FALSE,0.01,0.01,8,1675622235
1,500,1800,60,10,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,FALSE,2,FALSE,0.01,0.01,9,1675622236
1,500,1800,60,10,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,FALSE,2,FALSE,0.01,0.01,10,1675622237
1,500,1800,60,10,10,100,5000,3000,1,1,1,5,50,0.05,20,0.25,FALSE,2,FALSE,0.01,0.01,1,1675622238
1,500,1800,60,10,10,100,5000,3000,1,1,1,5,50,0.05,20,0.25,FALSE,2,FALSE,0.01,0.01,2,1675622239
1,500,1800,60,10,10,100,5000,3000,1,1,1,5,50,0.05,20,0.25,FALSE,2,FALSE,0.01,0.01,3,1675622240
1,500,1800,60,10,10,100,5000,3000,1,1,1,5,50,0.05,20,0.25,FALSE,2,FALSE,0.01,0.01,4,1675622241
1,500,1800,60,10,10,100,5000,3000,1,1,1,5,50,0.05,20,0.25,FALSE,2,FALSE,0.01,0.01,5,1675622242
1,500,1800,60,10,10,100,5000,3000,1,1,1,5,50,0.05,20,0.25,FALSE,2,FALSE,0.01,0.01,6,1675622243
1,500,1800,60,10,10,100,5000,3000,1,1,1,5,50,0.05,20,0.25,FALSE,2,FALSE,0.01,0.01,7,1675622244
1,500,1800,60,10,10,100,5000,3000,1,1,1,5,50,0.05,20,0.25,FALSE,2,FALSE,0.01,0.01,8,1675622245
1,500,1800,60,10,10,100,5000,3000,1,1,1,5,50,0.05,20,0.25,FALSE,2,FALSE,0.01,0.01,9,1675622246
1,500,1800,60,10,10,100,5000,3000,1,1,1,5,50,0.05,20,0.25,FALSE,2,FALSE,0.01,0.01,10,1675622247
