scenario,popsize,nItems,landsize,nClusters,clusterSpread,tmax,genmax,g_patho_init,range_food,range_agents,range_move,handling_time,regen_time,pTransmit,initialInfections,costInfect,multithreaded,dispersal,vertical,infect_percent,mProb,mSize,spillover_rate,replicate,seed
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,FALSE,2,FALSE,FALSE,0.01,0.01,0.1,1,1676488313
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,FALSE,2,FALSE,FALSE,0.01,0.01,0.1,2,1676488314
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,FALSE,2,FALSE,FALSE,0.01,0.01,0.1,3,1676488315
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,FALSE,2,FALSE,FALSE,0.01,0.01,0.1,4,1676488316
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,FALSE,2,FALSE,FALSE,0.01,0.01,0.1,5,1676488317
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,FALSE,2,FALSE,FALSE,0.01,0.01,0.1,6,1676488318
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,FALSE,2,FALSE,FALSE,0.01,0.01,0.1,7,1676488319
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,FALSE,2,FALSE,FALSE,0.01,0.01,0.1,8,1676488320
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,FALSE,2,FALSE,FALSE,0.01,0.01,0.1,9,1676488321
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,FALSE,2,FALSE,FALSE,0.01,0.01,0.1,10,1676488322
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,FALSE,2,FALSE,FALSE,0.01,0.01,0.25,1,1676488323
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,FALSE,2,FALSE,FALSE,0.01,0.01,0.25,2,1676488324
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,FALSE,2,FALSE,FALSE,0.01,0.01,0.25,3,1676488325
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,FALSE,2,FALSE,FALSE,0.01,0.01,0.25,4,1676488326
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,FALSE,2,FALSE,FALSE,0.01,0.01,0.25,5,1676488327
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,FALSE,2,FALSE,FALSE,0.01,0.01,0.25,6,1676488328
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,FALSE,2,FALSE,FALSE,0.01,0.01,0.25,7,1676488329
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,FALSE,2,FALSE,FALSE,0.01,0.01,0.25,8,1676488330
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,FALSE,2,FALSE,FALSE,0.01,0.01,0.25,9,1676488331
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,FALSE,2,FALSE,FALSE,0.01,0.01,0.25,10,1676488332
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,FALSE,2,FALSE,FALSE,0.01,0.01,0.5,1,1676488333
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,FALSE,2,FALSE,FALSE,0.01,0.01,0.5,2,1676488334
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,FALSE,2,FALSE,FALSE,0.01,0.01,0.5,3,1676488335
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,FALSE,2,FALSE,FALSE,0.01,0.01,0.5,4,1676488336
