gen,social_strat,N,mean_move,mean_assoc,mean_intake,prop_infec,repl,cost,regen,local,infect_percent,prop,gen_bin,gen_abs
0,agent avoiding,141,87.7163120567376,69.9007092198582,2.47617724526786,0,1,0.25,50,1,0,0.282,0,-3000
0,non-handler tracking,124,90.1774193548387,104.612903225806,1.96874190240745,0,1,0.25,50,1,0,0.248,0,-3000
0,agent tracking,106,90.4245283018868,114.405660377358,1.92552825477071,0,1,0.25,50,1,0,0.212,0,-3000
0,handler tracking,129,88.6821705426357,71.6046511627907,2.26456584956031,0,1,0.25,50,1,0,0.258,0,-3000
5,agent tracking,372,60.0967741935484,29380.373655914,7.99293512614414,0,1,0.25,50,1,0,0.744,0,-3000
5,agent avoiding,38,74.2631578947368,62.1842105263158,5.29047353084714,0,1,0.25,50,1,0,0.076,0,-3000
5,handler tracking,50,82.72,55.22,3.56099990242859,0,1,0.25,50,1,0,0.1,0,-3000
5,non-handler tracking,40,72.375,87.85,5.72599981258391,0,1,0.25,50,1,0,0.08,0,-3000
10,agent tracking,454,50.0220264317181,42918.4030837004,9.99659421596454,0,1,0.25,50,1,0,0.908,0,-3000
10,non-handler tracking,34,60.6764705882353,381.411764705882,8.14805849448791,0,1,0.25,50,1,0,0.068,0,-3000
10,agent avoiding,8,63.25,54.5,7.62599970400333,0,1,0.25,50,1,0,0.016,0,-3000
10,handler tracking,4,65.5,13313.25,7.00099959969521,0,1,0.25,50,1,0,0.008,0,-3000
15,agent tracking,449,51.4587973273942,43113.0400890869,9.71369439509504,0,1,0.25,50,1,0,0.898,0,-3000
15,agent avoiding,13,50.7692307692308,61.0769230769231,10.1548457970986,0,1,0.25,50,1,0,0.026,0,-3000
15,handler tracking,9,64.2222222222222,3883,7.33433306217194,0,1,0.25,50,1,0,0.018,0,-3000
15,non-handler tracking,29,63.3793103448276,875.241379310345,7.55272385669904,0,1,0.25,50,1,0,0.058,0,-3000
20,agent tracking,465,47.7634408602151,44853.6430107527,10.4483113045334,0,1,0.25,50,1,0,0.93,0,-3000
20,non-handler tracking,16,55.1875,1559.25,9.25099963694811,0,1,0.25,50,1,0,0.032,0,-3000
20,handler tracking,4,34.25,78.75,13.7509994506836,0,1,0.25,50,1,0,0.008,0,-3000
20,agent avoiding,15,48.9333333333333,63.0666666666667,10.6009995778402,0,1,0.25,50,1,0,0.03,0,-3000
25,agent tracking,466,49.0557939914163,44695.847639485,10.1898406933306,0,1,0.25,50,1,0,0.932,0,-3000
25,agent avoiding,17,40.7058823529412,75.2352941176471,12.2362936244291,0,1,0.25,50,1,0,0.034,0,-3000
25,non-handler tracking,8,34.25,8275.5,13.5009994506836,0,1,0.25,50,1,0,0.016,0,-3000
25,handler tracking,9,74.6666666666667,134.888888888889,5.3343331312709,0,1,0.25,50,1,0,0.018,0,-3000
30,agent tracking,447,46.4451901565996,40646.1454138702,10.7124088690585,0,1,0.25,50,1,0,0.894,0,-3000
30,non-handler tracking,25,69.72,890.56,6.20099978550337,0,1,0.25,50,1,0,0.05,0,-3000
30,agent avoiding,17,48.1176470588235,74.2352941176471,10.8245290097068,0,1,0.25,50,1,0,0.034,0,-3000
30,handler tracking,11,84.4545454545455,769.090909090909,3.18281810744454,0,1,0.25,50,1,0,0.022,0,-3000
35,agent tracking,453,47.046357615894,38152.0949227373,10.5992335052153,0,1,0.25,50,1,0,0.906,0,-3000
35,agent avoiding,27,50.037037037037,71.4444444444445,10.3343329076414,0,1,0.25,50,1,0,0.054,0,-3000
35,handler tracking,6,38.8333333333333,88.3333333333333,12.5009994506836,0,1,0.25,50,1,0,0.012,0,-3000
35,non-handler tracking,14,44.9285714285714,4552.71428571429,11.3581423811265,0,1,0.25,50,1,0,0.028,0,-3000
40,agent tracking,464,38.114224137931,36155.0474137931,12.388930496627,0,1,0.25,50,1,0,0.928,0,-3000
40,agent avoiding,15,54.7333333333333,67.4,9.26766637166341,0,1,0.25,50,1,0,0.03,0,-3000
40,handler tracking,2,65,5985,7.00099968910217,0,1,0.25,50,1,0,0.004,0,-3000
40,non-handler tracking,19,59.6842105263158,386.947368421053,8.42205236214336,0,1,0.25,50,1,0,0.038,0,-3000
45,agent tracking,480,34.7791666666667,38063.9333333333,13.0593327879906,0,1,0.25,50,1,0,0.96,0,-3000
45,non-handler tracking,7,46.5714285714286,4196.71428571429,10.8581424440656,0,1,0.25,50,1,0,0.014,0,-3000
45,agent avoiding,9,31.5555555555556,85.5555555555556,13.7787772814433,0,1,0.25,50,1,0,0.018,0,-3000
45,handler tracking,4,31.75,85,14.2509994506836,0,1,0.25,50,1,0,0.008,0,-3000
50,agent tracking,477,32.6771488469602,38500.7169811321,13.4747940019492,0,1,0.25,50,1,0,0.954,0,-3000
50,agent avoiding,9,51.6666666666667,61.8888888888889,10.0009996839152,0,1,0.25,50,1,0,0.018,0,-3000
50,handler tracking,6,47.3333333333333,65.1666666666667,10.8343328634898,0,1,0.25,50,1,0,0.012,0,-3000
50,non-handler tracking,8,43,7495.75,11.8759995102882,0,1,0.25,50,1,0,0.016,0,-3000
55,agent tracking,469,32.8123667377399,38579.2985074627,13.440231861082,0,1,0.25,50,1,0,0.938,0,-3000
55,handler tracking,9,50.3333333333333,594.333333333333,10.1121106677585,0,1,0.25,50,1,0,0.018,0,-3000
55,non-handler tracking,6,49.6666666666667,1500.66666666667,10.3343328755776,0,1,0.25,50,1,0,0.012,0,-3000
55,agent avoiding,16,48.375,85.4375,10.5634995698929,0,1,0.25,50,1,0,0.032,0,-3000
